P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1.01,Kepler-1 b,1.01,Hot,Jovian,,,non-habitable,,,,12.85,,,,        774.1489,        774.1489,        774.1490,1343.9,1343.9,1343.9,,,,,-30.00,24.61,2.47,0.0350,0.00,0.04,84.2,0.0,KOI-1,,,Dra,G,0.94,0.95,5850.0,0.948332,0.000,,11.3,178.35,19.1206,49.3164,-34.0,14.5036,1,0,0.728,1.711,-2.41,,,,0.00,0.00,0.00,0.07,0,0,0,1,transit,2011
KOI-2.01,Kepler-2 b,2.01,Hot,Jovian,,,non-habitable,,,,16.39,,,,        3983.613,        3983.614,        3983.615,2024.0,2024.0,2024.0,,,,,-32.32,31.54,2.20,0.0381,0.00,0.04,90.0,0.0,KOI-2,,,Cyg,F,1.52,1.99,6350.0,5.782654,0.000,,10.5,294.92,19.4832,47.9695,-35.8,28.1304,1,0,1.743,4.056,-2.47,,,,0.00,0.00,0.00,0.06,0,0,0,1,transit,2011
KOI-3.01,Kepler-3 b,3.01,Hot,Neptunian,gas,metals-rich,non-habitable,,22.53,,4.84,0.20,0.96,2.16,        97.33788,        97.33788,        97.33791,800.2,800.2,800.2,,,,4.5,-25.61,9.21,4.89,0.0530,0.00,0.05,90.0,0.0,KOI-3,,,Cyg,K,0.83,0.77,4777.0,0.273422,0.000,,9.2,35.52,19.8473,48.0809,-31.7,7.6979,1,0,0.414,1.010,-2.21,3.34,-0.25,0.20,,0.00,0.00,0.17,0,0,0,1,transit,2011
KOI-5.01,,5.01,Hot,Jovian,gas,metals-rich,non-habitable,,72.12,,7.07,0.20,1.44,3.19,        900.9516,        900.9517,        900.9518,1395.8,1395.8,1395.8,,,,14.7,-28.86,13.47,4.78,0.0577,0.00,0.06,82.5,0.0,KOI-5,,,Cyg,G,1.12,1.75,5753.0,2.999530,0.000,,11.7,368.48,19.3160,44.6474,-34.2,16.1891,2,0,1.302,3.069,-2.41,4.51,-0.08,0.16,,0.00,0.00,0.12,0,0,0,0,transit,2011
KOI-5.02,,5.02,,,,,non-habitable,,,,,,,,             ,             ,             ,,,,,,,,,,7.05,,-2147483648.00,,,0.0,KOI-5,,,Cyg,,,,,,0.000,,11.7,,19.3160,44.6474,,,2,0,,,,,,,0.00,0.00,0.00,,0,0,0,0,transit,2011
KOI-7.01,Kepler-4 b,7.01,Hot,Neptunian,gas,metals-rich,non-habitable,,14.12,,4.14,0.20,0.82,1.85,        1221.960,        1221.960,        1221.960,1506.3,1506.3,1506.3,,,,2.8,-28.03,7.87,3.21,0.0439,0.00,0.04,90.0,0.0,KOI-7,,,Dra,G,1.09,1.53,5781.0,2.354973,0.000,,12.2,419.34,19.0410,50.1358,-34.5,18.6924,1,0,1.151,2.713,-2.42,3.01,-0.81,0.20,,0.00,0.00,0.17,0,0,0,1,transit,2011
KOI-10.01,Kepler-8 b,10.01,Hot,Jovian,,,non-habitable,,,,14.83,,,,        1267.826,        1267.827,        1267.827,1520.2,1520.2,1520.2,,,,,-30.85,28.47,3.52,0.0473,0.00,0.05,85.4,0.0,KOI-10,,,Lyr,F,1.13,1.45,6225.0,2.836496,0.000,,13.6,855.20,18.7525,42.4511,-34.5,16.4040,1,0,1.230,2.869,-2.44,,,,0.00,0.00,0.00,0.06,0,0,0,1,transit,2011
KOI-12.01,,12.01,Hot,Jovian,,,non-habitable,,,,14.63,,,,        186.7082,        186.7082,        186.7082,941.8,941.8,941.8,,,,,-28.73,28.08,17.86,0.1463,0.00,0.15,90.0,0.0,KOI-12,,,Cyg,F,1.31,1.52,6635.0,3.996244,0.000,,11.4,368.65,19.8302,41.0110,-32.4,5.5244,1,0,1.425,3.302,-2.36,,,,0.00,0.00,0.00,0.07,0,0,0,0,transit,2011
KOI-13.01,Kepler-13 b,13.01,Hot,Jovian,,,non-habitable,,,,25.80,,,,        38052.96,        38052.96,        38052.96,3558.3,3558.3,3558.3,,,,,-35.77,50.66,1.76,0.0386,0.00,0.04,84.8,0.0,KOI-13,,,Lyr,A,2.47,3.03,9107.0,56.697389,0.000,,10.0,732.66,19.1314,46.8684,-38.2,42.8371,1,0,5.221,12.033,-2.52,,,,0.00,0.00,0.00,0.04,0,0,0,1,transit,2011
KOI-17.01,Kepler-6 b,17.01,Hot,Jovian,,,non-habitable,,,,13.41,,,,        799.6136,        799.6137,        799.6138,1354.8,1354.8,1354.8,,,,,-30.13,25.70,3.23,0.0435,0.00,0.04,90.0,0.0,KOI-17,,,Cyg,G,1.05,1.29,5640.0,1.513069,0.000,,13.3,554.44,19.7891,48.2399,-34.0,15.8666,1,0,0.931,2.201,-2.40,,,,0.00,0.00,0.00,0.07,0,0,0,1,transit,2011
KOI-18.01,Kepler-5 b,18.01,Hot,Jovian,,,non-habitable,,,,15.28,,,,        1712.540,        1712.541,        1712.541,1638.9,1638.9,1638.9,,,,,-31.25,29.36,3.55,0.0500,0.00,0.05,90.0,0.0,KOI-18,,,Cyg,F,1.32,1.75,6290.0,4.281351,0.000,,13.4,961.29,19.9605,44.0351,-34.9,18.6922,1,0,1.505,3.506,-2.45,,,,0.00,0.00,0.00,0.06,0,0,0,1,transit,2011
KOI-20.01,Kepler-12 b,20.01,Hot,Jovian,,,non-habitable,,,,18.22,,,,        759.5444,        759.5444,        759.5446,1337.5,1337.5,1337.5,,,,,-30.74,35.17,4.44,0.0545,0.00,0.05,90.0,0.0,KOI-20,,,Dra,G,1.09,1.42,5953.0,2.256037,0.000,,13.4,720.23,19.0829,50.0404,-34.0,13.8701,1,0,1.115,2.616,-2.41,,,,0.00,0.00,0.00,0.05,0,0,0,1,transit,2011
KOI-22.01,Kepler-422 b,22.01,Hot,Jovian,,,non-habitable,,,,12.24,,,,        236.5149,        236.5150,        236.5150,999.1,999.1,999.1,,,,,-28.60,23.42,7.89,0.0796,0.00,0.08,89.4,0.0,KOI-22,,,Lyr,G,1.08,1.19,5853.0,1.498597,0.000,,13.4,586.20,18.8420,46.3234,-32.7,7.9935,1,0,0.915,2.150,-2.35,,,,0.00,0.00,0.00,0.08,0,0,0,1,transit,2011
KOI-41.01,Kepler-100 c,41.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.76,,2.28,1.50,3.42,2.79,        189.5224,        189.5224,        189.5225,945.3,945.3,945.3,993.3,993.3,993.3,26.6,-24.69,4.33,12.82,0.1100,0.00,0.11,87.1,0.0,KOI-41,,,Lyr,G,1.08,1.49,5825.0,2.293221,0.000,,11.2,259.99,19.4257,41.9903,-32.5,7.2234,3,0,1.133,2.667,-2.33,-0.12,0.03,0.30,0.00,0.00,0.00,0.25,0,0,0,1,transit,2011
KOI-41.02,Kepler-100 b,41.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.16,,1.31,0.96,1.26,1.29,        433.8874,        433.8875,        433.8876,1162.8,1162.8,1162.8,1199.9,1199.9,1199.9,2.1,-24.39,2.49,6.89,0.0727,0.00,0.07,87.1,0.0,KOI-41,,,Lyr,G,1.08,1.49,5825.0,2.293221,0.000,,11.2,259.99,19.4257,41.9903,-33.4,10.9388,3,0,1.133,2.667,-2.38,-0.16,-1.00,0.28,0.00,0.00,0.00,0.29,0,0,0,1,transit,2011
KOI-41.03,Kepler-100 d,41.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.49,,1.50,1.03,1.55,1.52,        49.01544,        49.01545,        49.01545,674.1,674.1,674.1,713.6,713.6,713.6,3.6,-22.30,2.85,35.33,0.2163,0.00,0.22,88.8,0.0,KOI-41,,,Lyr,G,1.08,1.49,5825.0,2.293221,0.000,,11.2,259.99,19.4257,41.9903,-31.0,3.6717,3,0,1.133,2.667,-2.20,-0.15,-0.59,0.30,0.00,0.00,0.00,0.31,0,0,0,1,transit,2011
KOI-42.01,Kepler-410 A b,42.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.45,,2.47,1.69,4.17,3.21,        128.9850,        128.9850,        128.9851,858.6,858.6,858.6,908.7,908.7,908.7,43.0,-24.45,4.70,17.83,0.1436,0.00,0.14,90.0,0.0,KOI-42,,,Lyr,F,1.24,1.36,6325.0,2.659796,0.000,,9.4,120.87,18.8767,45.1398,-32.0,5.0525,1,0,1.184,2.756,-2.32,-0.11,0.39,0.30,0.00,0.00,0.00,0.24,0,0,0,1,transit,2011
KOI-46.01,Kepler-101 b,46.01,Hot,Neptunian,gas,metals-rich,non-habitable,,16.49,,4.36,0.20,0.87,1.94,        658.4510,        658.4510,        658.4510,1290.6,1290.6,1290.6,,,,3.3,-27.47,8.29,3.49,0.0468,0.00,0.05,90.0,0.0,KOI-46,,,Dra,G,1.13,1.21,5761.0,1.442166,0.000,,13.8,670.48,18.8837,48.3552,-33.8,13.7889,2,0,0.902,2.126,-2.40,3.11,-0.68,0.20,,0.00,0.00,0.17,0,0,0,1,transit,2011
KOI-46.02,Kepler-101 c,46.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.64,,0.91,0.84,0.77,0.84,        316.5247,        316.5247,        316.5248,1074.6,1074.6,1074.6,1105.9,1105.9,1105.9,0.5,-23.25,1.73,6.03,0.0675,0.00,0.07,87.7,0.0,KOI-46,,,Dra,G,1.13,1.21,5761.0,1.442166,0.000,,13.8,670.48,18.8837,48.3552,-33.0,9.5483,2,0,0.902,2.126,-2.36,-0.18,-1.24,0.27,0.00,0.00,0.00,0.30,0,0,0,1,transit,2011
KOI-49.01,,49.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.72,,2.69,0.19,0.51,1.18,        145.8722,        145.8722,        145.8723,885.4,885.4,885.4,,,,0.7,-24.77,5.11,8.31,0.0821,0.00,0.08,90.0,0.0,KOI-49,,,Cyg,G,1.07,0.95,5900.0,0.983239,0.000,,13.7,537.12,19.4833,46.1648,-32.2,6.1760,1,0,0.739,1.735,-2.32,2.44,-0.96,0.22,,0.00,0.00,0.23,0,0,0,0,transit,2011
KOI-51.01,,51.01,Hot,Jovian,,,non-habitable,,,,49.78,,,,        114.3009,        114.3009,        114.3009,833.0,833.0,833.0,,,,,-30.87,111.29,10.43,0.0936,0.00,0.09,85.4,0.0,KOI-51,,,Cyg,G,1.00,1.00,5780.0,1.001385,0.000,,13.8,556.40,19.7279,41.3324,-31.9,5.6959,1,0,0.751,1.769,-2.29,,,,0.00,0.00,0.00,0.03,0,0,0,0,transit,2011
KOI-63.01,Kepler-63 b,63.01,Hot,Neptunian,gas,metals-rich,non-habitable,,34.35,,5.57,0.20,1.11,2.48,        92.05837,        92.05837,        92.05839,789.2,789.2,789.2,,,,6.8,-25.85,10.60,9.43,0.0873,0.00,0.09,89.4,0.0,KOI-63,,,Cyg,G,1.00,0.88,5650.0,0.701604,0.000,,11.6,171.56,19.2817,49.5482,-31.7,5.3494,1,0,0.633,1.498,-2.26,3.71,-0.02,0.19,,0.00,0.00,0.15,0,0,0,1,transit,2011
KOI-69.01,Kepler-93 b,69.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.31,,1.59,1.07,1.70,1.65,        276.6817,        276.6818,        276.6818,1039.1,1039.1,1039.1,1079.6,1079.6,1079.6,4.6,-24.32,3.02,4.73,0.0533,0.00,0.05,85.9,0.0,KOI-69,,,Lyr,G,0.91,0.92,5669.0,0.786023,0.000,,9.9,85.21,19.4279,38.6724,-32.9,9.2185,1,0,0.670,1.583,-2.35,-0.15,-0.74,0.29,0.00,0.00,0.00,0.28,0,0,0,1,transit,2011
KOI-70.01,Kepler-20 c,70.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.44,,3.03,0.20,0.59,1.34,        81.07798,        81.07800,        81.07800,764.5,764.5,764.5,,,,1.1,-24.39,5.76,10.85,0.0919,0.00,0.09,88.8,0.0,KOI-70,,,Lyr,G,0.88,0.93,5465.0,0.684753,0.000,,12.5,257.91,19.1799,42.3387,-31.5,5.3659,5,0,0.633,1.504,-2.24,2.55,-0.79,0.22,,0.00,0.00,0.22,0,0,0,1,transit,2011
